Nama;qty
Kompor;8
Blender 6 lt;2
Choper 6 lt;2
Timbangan 20 kg;2
Baskom stainless;7
Mangkok besar;25
Mangkok kecil ;35
katel 93 cm;3
katel 56  cm;4
katel 59 cm;4
katel 83 cm;4
katel 52 cm;3
dandang 50 lt;6
asahan pisau;5
centong nasi;10
APAR;1
P3K dan isinya;1
insect killer;4
alat ukur suhu ruangan;2
stand hanger stainless besar;1
kursi plastik senderan kecil;10
kursi plastik tinggi;10
rak 150 kg stainless 4 susun p=100 l=45 t=150;4
rak 250 kg 5 susun p=100 l=45 t=150;2
keranjang;10
dispenser;2
Baskom 50 l;3
serok 36 cm;7
serok 34 cm;2
serok 32 cm;2
serok 26 cm;2
gelas takar;2
pencapit makanan;10
sodet sedang;2
sodet jumbo ;8
keset;10
jerigen 30 L;10
kipas angin dinding;3
kipas angin berdiri 20 inch;2
mangkok 17 cm;30
piring;30
bakul 55 cm;23
Pemantik api ;2
ember besar 48 cm;5
ember kecil 32 cm;5
keranjang buah besar ;10
keranjang sayur besar;10
sepatu slop/sandal anti slip;50
alat pel;3
sapu pengki;3
takaran nasi/cetakan nasi;10
